Sample no,fc (MPa),fy (MPa),Beam Area (m2),Col Area (m2),Bay Width X (m),Bay Width Y (m),Bay Width Z (m),No of bay X,No of bay Y,No of bay Z,Area (m2)
290,20,415,0.07475,0.0529,3.6,2.6,3.2,5,2,4,93.6
291,20,415,0.07475,0.0529,2.6,2.6,2.75,5,2,4,67.6
292,20,415,0.07475,0.0529,2.6,2.6,3,5,2,4,67.6
293,20,415,0.07475,0.0529,2.6,2.6,3.2,5,2,4,67.6
294,20,415,0.07475,0.0529,2.6,3.6,2.75,5,2,4,93.6
295,20,415,0.07475,0.0529,2.6,3.6,3,5,2,4,93.6
296,20,415,0.07475,0.0529,2.6,3.6,3.2,5,2,4,93.6
297,20,415,0.07475,0.0529,4.5,2.6,2.75,4,2,4,93.6
298,20,415,0.07475,0.0529,4.5,2.6,3,4,2,4,93.6
299,20,415,0.07475,0.0529,4.5,2.6,3.2,4,2,4,93.6
300,20,415,0.07475,0.0529,3.6,2.6,2.75,4,2,4,74.88
301,20,415,0.07475,0.0529,3.6,2.6,3,4,2,4,74.88
302,20,415,0.07475,0.0529,3.6,2.6,3.2,4,2,4,74.88
303,20,415,0.07475,0.0529,2.6,3.6,2.75,4,2,4,74.88
304,20,415,0.07475,0.0529,2.6,3.6,3,4,2,4,74.88
305,20,415,0.07475,0.0529,2.6,3.6,3.2,4,2,4,74.88
306,20,415,0.07475,0.0529,2.6,2.6,2.75,4,3,4,81.12
307,20,415,0.07475,0.0529,2.6,2.6,3,4,3,4,81.12
308,20,415,0.07475,0.0529,2.6,2.6,3.2,4,3,4,81.12
309,20,415,0.07475,0.0529,2.6,4.5,2.75,4,2,4,93.6
310,20,415,0.07475,0.0529,2.6,4.5,3,4,2,4,93.6
311,20,415,0.07475,0.0529,2.6,4.5,3.2,4,2,4,93.6
312,20,415,0.07475,0.0529,4.5,2.6,2.75,3,2,4,70.2
313,20,415,0.07475,0.0529,4.5,2.6,3,3,2,4,70.2
314,20,415,0.07475,0.0529,4.5,2.6,3.2,3,2,4,70.2
315,20,415,0.07475,0.0529,4.5,3.6,2.75,3,2,4,97.2
316,20,415,0.07475,0.0529,4.5,3.6,3,3,2,4,97.2
317,20,415,0.07475,0.0529,4.5,3.6,3.2,3,2,4,97.2
318,20,415,0.07475,0.0529,3.6,3.6,2.75,3,2,4,77.76
319,20,415,0.07475,0.0529,3.6,3.6,3,3,2,4,77.76
320,20,415,0.07475,0.0529,3.6,3.6,3.2,3,2,4,77.76
321,20,415,0.07475,0.0529,3.6,2.6,2.75,3,3,4,84.24
322,20,415,0.07475,0.0529,3.6,2.6,3,3,3,4,84.24
323,20,415,0.07475,0.0529,3.6,2.6,3.2,3,3,4,84.24
324,20,415,0.07475,0.0529,3.6,4.5,2.75,3,2,4,97.2
325,20,415,0.07475,0.0529,3.6,4.5,3,3,2,4,97.2
326,20,415,0.07475,0.0529,3.6,4.5,3.2,3,2,4,97.2
327,20,415,0.07475,0.0529,2.6,4.5,2.75,3,2,4,70.2
328,20,415,0.07475,0.0529,2.6,4.5,3,3,2,4,70.2
329,20,415,0.07475,0.0529,2.6,4.5,3.2,3,2,4,70.2
330,20,415,0.07475,0.0529,2.6,3.6,2.75,3,3,4,84.24
331,20,415,0.07475,0.0529,2.6,3.6,3,3,3,4,84.24
332,20,415,0.07475,0.0529,2.6,3.6,3.2,3,3,4,84.24
333,20,415,0.07475,0.0529,4.5,3.6,2.75,2,2,4,64.8
334,20,415,0.07475,0.0529,4.5,3.6,3,2,2,4,64.8
335,20,415,0.07475,0.0529,4.5,3.6,3.2,2,2,4,64.8
336,20,415,0.07475,0.0529,4.5,4.5,2.75,2,2,4,81
337,20,415,0.07475,0.0529,4.5,4.5,3,2,2,4,81
338,20,415,0.07475,0.0529,4.5,4.5,3.2,2,2,4,81
339,20,415,0.07475,0.0529,3.6,4.5,2.75,2,2,4,64.8
340,20,415,0.07475,0.0529,3.6,4.5,3,2,2,4,64.8
341,20,415,0.07475,0.0529,3.6,4.5,3.2,2,2,4,64.8
