Sample no,fc (MPa),fy (MPa),Beam Area (m2),Col area (m2),Bay Width X (m),Bay Width Y (m),Bay Width Z (m),No of bay X,No of bay Y,No of bay Z,Area (m2)
212,20.00,415.00,0.08875,0.09,4.00,3.00,2.90,6,5,3,360.00
213,20.00,415.00,0.08875,0.09,4.00,3.00,2.90,5,5,3,300.00
214,20.00,415.00,0.08875,0.09,4.00,3.00,3.10,6,5,3,360.00
215,20.00,415.00,0.08875,0.09,4.00,3.00,3.10,5,5,3,300.00
216,20.00,415.00,0.08875,0.09,3.00,4.00,2.90,6,3,3,216.00
217,20.00,415.00,0.08875,0.09,3.00,4.00,2.90,5,3,3,180.00
218,20.00,415.00,0.08875,0.09,3.00,4.00,2.90,4,3,3,144.00
219,20.00,415.00,0.08875,0.09,3.00,4.00,2.90,3,3,3,108.00
220,20.00,415.00,0.08875,0.09,3.00,4.00,3.10,6,3,3,216.00
221,20.00,415.00,0.08875,0.09,3.00,4.00,3.10,5,3,3,180.00
222,20.00,415.00,0.08875,0.09,3.00,4.00,3.10,4,3,3,144.00
223,20.00,415.00,0.08875,0.09,3.00,4.00,3.10,3,3,3,108.00
224,20.00,415.00,0.08875,0.09,4.00,3.00,2.90,6,3,3,216.00
225,20.00,415.00,0.08875,0.09,4.00,3.00,2.90,5,3,3,180.00
226,20.00,415.00,0.08875,0.09,4.00,3.00,2.90,4,3,3,144.00
227,20.00,415.00,0.08875,0.09,4.00,3.00,2.90,3,3,3,108.00
228,20.00,415.00,0.08875,0.09,4.00,3.00,3.10,6,3,3,216.00
229,20.00,415.00,0.08875,0.09,4.00,3.00,3.10,5,3,3,180.00
230,20.00,415.00,0.08875,0.09,4.00,3.00,3.10,4,3,3,144.00
231,20.00,415.00,0.08875,0.09,4.00,3.00,3.10,3,3,3,108.00
232,20.00,415.00,0.08875,0.09,3.00,4.00,2.90,6,2,3,144.00
233,20.00,415.00,0.08875,0.09,3.00,4.00,2.90,5,2,3,120.00
234,20.00,415.00,0.08875,0.09,3.00,4.00,2.90,4,2,3,96.00
235,20.00,415.00,0.08875,0.09,3.00,4.00,2.90,3,2,3,72.00
236,20.00,415.00,0.08875,0.09,3.00,4.00,2.90,2,2,3,48.00
237,20.00,415.00,0.08875,0.09,3.00,4.00,3.10,6,2,3,144.00
238,20.00,415.00,0.08875,0.09,3.00,4.00,3.10,5,2,3,120.00
239,20.00,415.00,0.08875,0.09,3.00,4.00,3.10,4,2,3,96.00
240,20.00,415.00,0.08875,0.09,3.00,4.00,3.10,3,2,3,72.00
241,20.00,415.00,0.08875,0.09,3.00,4.00,3.10,2,2,3,48.00
242,20.00,415.00,0.08875,0.09,4.00,3.00,2.90,4,2,3,96.00
243,20.00,415.00,0.08875,0.09,4.00,3.00,2.90,3,2,3,72.00
244,20.00,415.00,0.08875,0.09,4.00,3.00,2.90,2,2,3,48.00
245,20.00,415.00,0.08875,0.09,4.00,3.00,3.10,4,2,3,96.00
246,20.00,415.00,0.08875,0.09,4.00,3.00,3.10,3,2,3,72.00
247,20.00,415.00,0.08875,0.09,4.00,3.00,3.10,2,2,3,48.00
