Sample_no,RSN,fc_(MPa),fy_(MPa),Ab_(m2),Ac_(m2),Lx_(m),Ly_(m),Lz_(m),Nx,Ny,Nz,Ap_(m2),AR,Kfc,ρ,Tm_(sec),PGA_(g),PGV_(cm/sec),PGV/PGA_(sec),A_RMS_(g),V_RMS_(cm/sec),IA,CAV_(cm/sec),Tpred_(sec),Dsig_(sec),Sa(T1)_(g),T1_(s),T2_(s),T3_(s),Final_T1 (s),Final_T2 (s),Final_T3 (s),max_base_shear_kN,MIDR_1st_floor,MIDR_2nd_floor,MIDR_3rd_floor,MIDR_4th_floor,MIDR,Max_Park_Ang_DI_storey,Park_Ang_DI
2,960,20,500,0.08165,0.1024,3,3,2.9,4,2,2,72,2,1.44,0.0201258,0.6213,0.40079,35.57329,0.09048,0.08888,10.69833,2.43195,1118.51994,0.42,7.97,0.88415,0.2622,0.25202,0.22885,0.411,0.32689,0.30423,827.563,0.568,0.498,0,0,0.568,0,0
2,962,20,500,0.08165,0.1024,3,3,2.9,4,2,2,72,2,1.44,0.0201258,0.6325,0.40818,51.37601,0.1283,0.10843,13.27285,7.243,3140.96484,0.92,29.4,1.0052,0.2622,0.25202,0.22885,0.32955,0.28016,0.27631,741.536,0.484,0.459,0,0,0.484,0,0
2,990,20,500,0.08165,0.1024,3,3,2.9,4,2,2,72,2,1.44,0.0201258,0.4473,0.43521,33.62016,0.07875,0.07258,6.82335,3.24617,1693.71221,0.1,14.71,0.87617,0.2622,0.25202,0.22885,0.40805,0.32512,0.30338,840.757,0.56,0.483,0,0,0.56,0,0
2,998,20,500,0.08165,0.1024,3,3,2.9,4,2,2,72,2,1.44,0.0201258,0.5345,0.39747,45.61678,0.11699,0.07765,8.98781,2.78549,1418.06102,0.24,11.33,0.9011,0.2622,0.25202,0.22885,0.38644,0.31123,0.2932,693.706,0.444,0.393,0,0,0.444,0,0
2,1045,20,500,0.08165,0.1024,3,3,2.9,4,2,2,72,2,1.44,0.0201258,1.0312,0.67999,62.38249,0.09352,0.07601,17.70292,2.22366,1180.35554,0.2,11.93,0.94,0.2622,0.25202,0.22885,0.39434,0.31591,0.29594,732.185,0.473,0.404,0,0,0.473,0,0
2,1052,20,500,0.08165,0.1024,3,3,2.9,4,2,2,72,2,1.44,0.0201258,0.5182,0.41381,50.58513,0.12461,0.05943,6.64182,2.17624,1281.62753,0.16,11.14,0.81645,0.2622,0.25202,0.22885,0.38889,0.31258,0.29336,717.888,0.459,0.389,0,0,0.459,0,0
2,2476,20,500,0.08165,0.1024,3,3,2.9,4,2,2,72,2,1.44,0.0201258,1.546,0.36627,70.20761,0.19539,0.0551,16.95212,4.11719,2750.56367,1.7,39.07,0.67607,0.2622,0.25202,0.22885,0.36654,0.29861,0.28632,591.25,0.341,0.277,0,0,0.341,0,0
2,2510,20,500,0.08165,0.1024,3,3,2.9,4,2,2,72,2,1.44,0.0201258,1.429,0.33066,81.03706,0.24983,0.07696,21.19063,8.21312,4268.57423,1.94,41.028,0.58371,0.2622,0.25202,0.22885,0.38074,0.30738,0.29063,677.062,0.422,0.357,0,0,0.422,0,0
2,2990,20,500,0.08165,0.1024,3,3,2.9,4,2,2,72,2,1.44,0.0201258,0.8415,0.494,56.16258,0.11589,0.06181,11.00453,6.76926,3686.52318,0.68,35.564,0.88999,0.2622,0.25202,0.22885,0.40385,0.32168,0.2979,794.109,0.527,0.458,0,0,0.527,0,0
2,3282,20,500,0.08165,0.1024,3,3,2.9,4,2,2,72,2,1.44,0.0201258,1.1888,0.32222,68.54745,0.21686,0.05707,12.07112,4.86884,2558.18179,1.48,21.616,0.56881,0.2622,0.25202,0.22885,0.37023,0.30088,0.28745,594.824,0.352,0.3,0,0,0.352,0,0
2,3285,20,500,0.08165,0.1024,3,3,2.9,4,2,2,72,2,1.44,0.0201258,1.0634,0.55373,69.09332,0.12719,0.07868,17.22096,8.48816,4020.61522,0.78,34.845,0.90616,0.2622,0.25202,0.22885,0.40455,0.32215,0.29819,784.168,0.522,0.465,0,0,0.522,0,0
2,3319,20,500,0.08165,0.1024,3,3,2.9,4,2,2,72,2,1.44,0.0201258,1.2023,0.45751,84.55813,0.1884,0.06145,15.00242,7.27355,4059.83503,0.94,38.08,0.87425,0.2622,0.25202,0.22885,0.40453,0.32237,0.29911,812.082,0.532,0.471,0,0,0.532,0,0
2,3749,20,500,0.08165,0.1024,3,3,2.9,4,2,2,72,2,1.44,0.0201258,0.6478,0.44077,67.62446,0.1564,0.09458,15.31657,3.8952,1876.39026,0.34,17.86,0.96621,0.2622,0.25202,0.22885,0.3788,0.30661,0.29169,900.675,0.633,0.537,0,0,0.633,0,0
2,4199,20,500,0.08165,0.1024,3,3,2.9,4,2,2,72,2,1.44,0.0201258,1.1607,0.29655,67.41968,0.23175,0.05829,12.40885,6.28079,3898.87191,1.64,33.48,0.60092,0.2622,0.25202,0.22885,0.36367,0.2966,0.28517,560.238,0.326,0.286,0,0,0.326,0,0
2,4455,20,500,0.08165,0.1024,3,3,2.9,4,2,2,72,2,1.44,0.0201258,0.458,0.38582,21.82997,0.05768,0.05352,4.65578,2.11664,1348.63836,0.12,12.45,0.98091,0.2622,0.25202,0.22885,0.39817,0.31867,0.29776,777.073,0.516,0.441,0,0,0.516,0,0
2,4458,20,500,0.08165,0.1024,3,3,2.9,4,2,2,72,2,1.44,0.0201258,0.6677,0.38747,44.70002,0.1176,0.07711,10.07204,4.41474,2330.54859,0.38,19.67,0.92129,0.2622,0.25202,0.22885,0.40348,0.32198,0.29961,795.192,0.532,0.45,0,0,0.532,0,0
2,4863,20,500,0.08165,0.1024,3,3,2.9,4,2,2,72,2,1.44,0.0201258,0.5093,0.34576,33.74547,0.09949,0.05994,7.41925,3.32128,1991.93991,0.16,22.06,0.89295,0.2622,0.25202,0.22885,0.39497,0.31626,0.2952,739.901,0.482,0.414,0,0,0.482,0,0
2,5117,20,500,0.08165,0.1024,3,3,2.9,4,2,2,72,2,1.44,0.0201258,0.9413,0.49741,54.25167,0.11118,0.04401,7.91705,7.96699,5235.1299,0.96,49.65,1.00725,0.2622,0.25202,0.22885,0.39511,0.31648,0.29534,769.609,0.513,0.45,0,0,0.513,0,0
