PGA (g),PoE(IO),PoE(LS),PoE(CP)
1.003003003003003,0.9999999985976679,0.9810232853167503,0.5829181981618473
1.005005005005005,0.9999999986857672,0.9813882378480773,0.5852798036694659
1.007007007007007,0.9999999987683079,0.9817464898088061,0.5876336404689276
1.009009009009009,0.9999999988456422,0.982098155080389,0.5899796639060478
1.011011011011011,0.9999999989180998,0.9824433458683929,0.5923178303884745
1.013013013013013,0.9999999989859891,0.9827821727196935,0.594648097378235
1.015015015015015,0.9999999990495997,0.9831147445397241,0.59697042338421
1.017017017017017,0.9999999991092019,0.9834411686097703,0.5992847679545349
1.019019019019019,0.9999999991650496,0.9837615506042994,0.6015910916689337
1.021021021021021,0.9999999992173801,0.9840759946083193,0.603889356130988
1.023023023023023,0.9999999992664159,0.984384603134754,0.6061795239603438
1.025025025025025,0.9999999993123652,0.9846874771418308,0.6084615587848596
1.027027027027027,0.9999999993554232,0.9849847160504699,0.6107354252326981
1.029029029029029,0.9999999993957723,0.9852764177616683,0.613001088924364
1.031031031031031,0.999999999433584,0.985562678673872,0.6152585164646924
1.033033033033033,0.9999999994690183,0.9858435937003279,0.6175076754347872
1.035035035035035,0.9999999995022254,0.9861192562864095,0.6197485343839174
1.037037037037037,0.999999999533346,0.9863897584269093,0.6219810628213686
1.039039039039039,0.9999999995625115,0.9866551906832929,0.6242052312082547
1.0410410410410411,0.9999999995898454,0.9869156422009058,0.6264210109492936
1.043043043043043,0.9999999996154633,0.9871712007261306,0.6286283743845463
1.045045045045045,0.9999999996394733,0.9874219526234871,0.630827294781126
1.047047047047047,0.9999999996619768,0.9876679828926689,0.6330177463248747
1.049049049049049,0.9999999996830689,0.9879093751855144,0.635199704112014
1.0510510510510511,0.9999999997028381,0.9881462118229045,0.6373731441407704
1.053053053053053,0.9999999997213682,0.9883785738115837,0.6395380433029764
1.055055055055055,0.9999999997387371,0.9886065408608999,0.6416943793756535
1.057057057057057,0.9999999997550177,0.9888301913994583,0.6438421310125749
1.059059059059059,0.9999999997702788,0.9890496025916853,0.6459812777358118
1.0610610610610611,0.9999999997845842,0.9892648503542997,0.6481117999272671
1.063063063063063,0.9999999997979943,0.9894760093726852,0.650233678820195
1.065065065065065,0.9999999998105653,0.9896831531171634,0.6523468964907133
1.067067067067067,0.99999999982235,0.9898863538591613,0.6544514358493053
1.069069069069069,0.9999999998333977,0.9900856826872729,0.6565472806323169
1.0710710710710711,0.9999999998437549,0.9902812095232086,0.6586344153934497
1.073073073073073,0.9999999998534648,0.9904730031376332,0.6607128254952505
1.075075075075075,0.999999999862568,0.990661131165887,0.662782497100603
1.077077077077077,0.9999999998711029,0.9908456601235889,0.6648434171642189
1.079079079079079,0.9999999998791048,0.9910266554221182,0.6668955734241332
1.0810810810810811,0.9999999998866074,0.9912041813839747,0.6689389543932038
1.083083083083083,0.9999999998936419,0.991378301258012,0.6709735493506179
1.085085085085085,0.9999999999002376,0.9915490772345451,0.6729993483334082
1.087087087087087,0.9999999999064221,0.9917165704603289,0.6750163421279768
1.089089089089089,0.9999999999122211,0.9918808410534061,0.6770245222616319
1.0910910910910911,0.9999999999176588,0.9920419481178228,0.6790238809941379
1.093093093093093,0.9999999999227578,0.9921999497582106,0.6810144113092784
1.095095095095095,0.9999999999275393,0.9923549030942348,0.6829961069064379
1.097097097097097,0.9999999999320233,0.9925068642749053,0.6849689621921983
1.0990990990990992,0.9999999999362281,0.9926558884927511,0.6869329722719565
1.1011011011011012,0.9999999999401715,0.9928020299978566,0.68888813294156
1.103103103103103,0.9999999999438697,0.9929453421117584,0.690834440678967
1.105105105105105,0.9999999999473379,0.9930858772412031,0.6927718926359268
1.107107107107107,0.9999999999505907,0.9932236868917639,0.6947004866296853
1.1091091091091092,0.9999999999536414,0.9933588216813162,0.6966202211347171
1.1111111111111112,0.9999999999565028,0.9934913313533714,0.6985310952744815
1.1131131131131131,0.9999999999591864,0.9936212647902699,0.7004331088132095
1.115115115115115,0.9999999999617036,0.9937486700262292,0.7023262621477174
1.117117117117117,0.9999999999640646,0.9938735942602516,0.7042105562992511
1.1191191191191192,0.9999999999662793,0.9939960838688878,0.7060859929053622
1.1211211211211212,0.9999999999683566,0.9941161844188579,0.7079525742118146
1.1231231231231231,0.9999999999703053,0.9942339406795286,0.7098103030645266
1.125125125125125,0.9999999999721333,0.9943493966352492,0.7116591829015455
1.127127127127127,0.9999999999738481,0.9944625954975417,0.713499217745057
1.1291291291291292,0.9999999999754567,0.9945735797171511,0.7153304121934327
1.1311311311311312,0.9999999999769659,0.9946823909959506,0.717152771413312
1.1331331331331331,0.9999999999783816,0.9947890702987063,0.718966301131724
1.135135135135135,0.9999999999797099,0.9948936578646989,0.7207710076282466
1.137137137137137,0.999999999980956,0.9949961932192032,0.7225668977272062
1.1391391391391392,0.9999999999821252,0.995096715184828,0.7243539787899167
1.1411411411411412,0.9999999999832222,0.9951952618927138,0.7261322587069594
1.1431431431431431,0.9999999999842514,0.9952918707935906,0.727901745890507
1.145145145145145,0.9999999999852172,0.9953865786686965,0.7296624492666866
1.147147147147147,0.9999999999861233,0.9954794216405566,0.7314143782679887
1.1491491491491492,0.9999999999869735,0.9955704351836236,0.7331575428257189
1.1511511511511512,0.9999999999877714,0.9956596541347812,0.7348919533624931
1.1531531531531531,0.9999999999885201,0.9957471127037095,0.736617620784781
1.155155155155155,0.9999999999892227,0.9958328444831152,0.7383345564754915
1.157157157157157,0.999999999989882,0.9959168824588254,0.7400427722866068
1.1591591591591592,0.9999999999905007,0.9959992590197475,0.7417422805318621
1.1611611611611612,0.9999999999910814,0.9960800059676946,0.743433093979474
1.1631631631631631,0.9999999999916264,0.9961591545270789,0.7451152258449154
1.165165165165165,0.9999999999921378,0.996236735354472,0.7467886897837388
1.167167167167167,0.9999999999926178,0.9963127785480351,0.7484534998844499
1.1691691691691692,0.9999999999930683,0.9963873136568187,0.7501096706614281
1.1711711711711712,0.9999999999934912,0.9964603696899325,0.7517572170478987
1.1731731731731732,0.9999999999938881,0.996531975125589,0.7533961543889538
1.1751751751751751,0.9999999999942607,0.9966021579200179,0.7550264984346244
1.177177177177177,0.9999999999946104,0.996670945516256,0.7566482653330033
1.1791791791791792,0.9999999999949386,0.9967383648528111,0.7582614716234176
1.1811811811811812,0.9999999999952468,0.9968044423722023,0.7598661342296549
1.1831831831831832,0.999999999995536,0.9968692040293783,0.7614622704532397
1.1851851851851851,0.9999999999958076,0.9969326753000121,0.7630498979667621
1.187187187187187,0.9999999999960625,0.9969948811886772,0.7646290348072599
1.1891891891891893,0.9999999999963018,0.9970558462369027,0.7661996993696505
1.1911911911911912,0.9999999999965266,0.9971155945311108,0.7677619104002186
1.1931931931931932,0.9999999999967375,0.9971741497104369,0.7693156869901552
1.1951951951951951,0.9999999999969356,0.9972315349744343,0.7708610485691503
1.197197197197197,0.9999999999971215,0.9972877730906623,0.7723980148990385
1.1991991991991993,0.999999999997296,0.9973428864021626,0.7739266060674989
1.2012012012012012,0.99999999999746,0.9973968968348224,0.7754468424818073
1.2032032032032032,0.999999999997614,0.997449825904625,0.7769587448626438
1.2052052052052051,0.9999999999977586,0.9975016947247929,0.7784623342379539
1.207207207207207,0.9999999999978942,0.9975525240128187,0.7799576319368623
1.2092092092092093,0.9999999999980217,0.9976023340973907,0.7814446595836433
1.2112112112112112,0.9999999999981414,0.9976511449252115,0.7829234390917421
1.2132132132132132,0.9999999999982538,0.9976989760677095,0.7843939926578545
1.2152152152152151,0.9999999999983594,0.9977458467276489,0.7858563427560566
1.2172172172172173,0.9999999999984586,0.9977917757456344,0.7873105121319928
1.2192192192192193,0.9999999999985516,0.9978367816065156,0.7887565237971148
1.2212212212212212,0.9999999999986391,0.9978808824456896,0.7901944010229772
1.2232232232232232,0.9999999999987212,0.9979240960553062,0.7916241673355876
1.2252252252252251,0.9999999999987984,0.9979664398903721,0.7930458465098089
1.2272272272272273,0.9999999999988708,0.9980079310747607,0.7944594625638189
1.2292292292292293,0.9999999999989388,0.9980485864071243,0.7958650397536213
1.2312312312312312,0.9999999999990028,0.9980884223667132,0.7972626025676139
1.2332332332332332,0.9999999999990629,0.9981274551190998,0.7986521757212091
1.2352352352352352,0.9999999999991193,0.9981657005218117,0.8000337841515086
